date,site,species,replicate,wp_bar
5/26/2022,c,m,1,19.8
5/26/2022,c,m,2,6.9
5/26/2022,c,m,3,15
5/26/2022,c,m,4,16.1
5/26/2022,c,m,5,14.8
5/26/2022,c,d,1,11.7
5/26/2022,c,d,2,
5/26/2022,c,d,3,15.28
5/26/2022,c,d,4,12.8
5/26/2022,c,d,5,3.38
5/26/2022,c,h,1,18.2
5/26/2022,c,h,2,18.9
5/26/2022,c,h,3,15.9
5/26/2022,c,h,4,
5/26/2022,c,h,5,10.9
5/26/2022,p,m,1,10.6
5/26/2022,p,m,2,3.3
5/26/2022,p,m,3,3.9
5/26/2022,p,m,4,16.2
5/26/2022,p,m,5,13.8
5/26/2022,p,d,1,
5/26/2022,p,d,2,9.6
5/26/2022,p,d,3,12.1
5/26/2022,p,d,4,13.8
5/26/2022,p,d,5,9.5
5/26/2022,p,h,1,20.5
5/26/2022,p,h,2,17
5/26/2022,p,h,3,12.8
5/26/2022,p,h,4,14.1
5/26/2022,p,h,5,14.8
6/2/2022,p,d,1,14.1
6/2/2022,p,d,2,12.8
6/2/2022,p,d,3,12.9
6/2/2022,p,d,4,10.6
6/2/2022,p,d,5,12.8
6/2/2022,p,h,1,23.6
6/2/2022,p,h,2,21.9
6/2/2022,p,h,3,22.7
6/2/2022,p,h,4,23.7
6/2/2022,p,h,5,
6/2/2022,p,m,1,24.1
6/2/2022,p,m,2,21.9
6/2/2022,p,m,3,22.8
6/2/2022,p,m,4,21.4
6/2/2022,p,m,5,21.2
6/2/2022,c,d,1,14.3
6/2/2022,c,d,2,
6/2/2022,c,d,3,25.6
6/2/2022,c,d,4,13
6/2/2022,c,d,5,15.87
6/2/2022,c,h,1,13.3
6/2/2022,c,h,2,24.1
6/2/2022,c,h,3,23.9
6/2/2022,c,h,4,23.9
6/2/2022,c,h,5,16.1
6/2/2022,c,m,1,25.46
6/2/2022,c,m,2,18.92
6/2/2022,c,m,3,22
6/2/2022,c,m,4,15.9
6/2/2022,c,m,5,22.82
6/9/2022,p,d,1,11.5
6/9/2022,p,d,2,10.85
6/9/2022,p,d,3,14.68
6/9/2022,p,d,4,9.8
6/9/2022,p,d,5,10.4
6/9/2022,p,h,1,18.2
6/9/2022,p,h,2,18.83
6/9/2022,p,h,3,18.7
6/9/2022,p,h,4,16.9
6/9/2022,p,h,5,18.1
6/9/2022,p,m,1,5.4
6/9/2022,p,m,2,21.6
6/9/2022,p,m,3,5.72
6/9/2022,p,m,4,5.1
6/9/2022,p,m,5,11.1
6/9/2022,c,d,1,8.91
6/9/2022,c,d,2,11.49
6/9/2022,c,d,3,13.69
6/9/2022,c,d,4,12.4
6/9/2022,c,d,5,11.9
6/9/2022,c,h,1,15.06
6/9/2022,c,h,2,17.52
6/9/2022,c,h,3,14.54
6/9/2022,c,h,4,16.1
6/9/2022,c,h,5,
6/9/2022,c,m,1,19.2
6/9/2022,c,m,2,4.2
6/9/2022,c,m,3,4.1
6/9/2022,c,m,4,8.3
6/9/2022,c,m,5,5.3
6/16/2022,p,d,1,15.2
6/16/2022,p,d,2,14.7
6/16/2022,p,d,3,13.4
6/16/2022,p,d,4,12.6
6/16/2022,p,d,5,14.8
6/16/2022,p,h,1,27.7
6/16/2022,p,h,2,
6/16/2022,p,h,3,20.9
6/16/2022,p,h,4,27.1
6/16/2022,p,h,5,24.4
6/16/2022,p,m,1,8.2
6/16/2022,p,m,2,23.6
6/16/2022,p,m,3,24.4
6/16/2022,p,m,4,13.9
6/16/2022,p,m,5,22.9
6/16/2022,c,d,1,16
6/16/2022,c,d,2,16.4
6/16/2022,c,d,3,16.2
6/16/2022,c,d,4,13.4
6/16/2022,c,d,5,13.7
6/16/2022,c,h,1,27
6/16/2022,c,h,2,
6/16/2022,c,h,3,25.1
6/16/2022,c,h,4,18.8
6/16/2022,c,h,5,21.7
6/16/2022,c,m,1,8.5
6/16/2022,c,m,2,7.2
6/16/2022,c,m,3,7.4
6/16/2022,c,m,4,21.1
6/16/2022,c,m,5,22.7
6/22/2022,p,d,1,4.6
6/22/2022,p,d,2,3.7
6/22/2022,p,d,3,17.3
6/22/2022,p,d,4,3.4
6/22/2022,p,d,5,3.3
6/22/2022,p,h,1,8.4
6/22/2022,p,h,2,
6/22/2022,p,h,3,7.3
6/22/2022,p,h,4,1.8
6/22/2022,p,h,5,6.2
6/22/2022,p,m,1,5.8
6/22/2022,p,m,2,6.2
6/22/2022,p,m,3,5.9
6/22/2022,p,m,4,5.7
6/22/2022,p,m,5,6.1
6/22/2022,c,d,1,2.3
6/22/2022,c,d,2,4.6
6/22/2022,c,d,3,5.7
6/22/2022,c,d,4,2.5
6/22/2022,c,d,5,1.1
6/22/2022,c,h,1,6.2
6/22/2022,c,h,2,9.8
6/22/2022,c,h,3,6.4
6/22/2022,c,h,4,2.4
6/22/2022,c,h,5,5.4
6/22/2022,c,m,1,4.4
6/22/2022,c,m,2,5.4
6/22/2022,c,m,3,4.1
6/22/2022,c,m,4,1.8
6/22/2022,c,m,5,4.7
6/30/2022,p,d,1,14.8
6/30/2022,p,d,2,15.6
6/30/2022,p,d,3,14.1
6/30/2022,p,d,4,14.4
6/30/2022,p,d,5,16.6
6/30/2022,p,h,1,30.5
6/30/2022,p,h,2,
6/30/2022,p,h,3,28
6/30/2022,p,h,4,29.2
6/30/2022,p,h,5,28.4
6/30/2022,p,m,1,23.2
6/30/2022,p,m,2,25.4
6/30/2022,p,m,3,23.5
6/30/2022,p,m,4,19.8
6/30/2022,p,m,5,25.1
6/30/2022,c,d,1,16.1
6/30/2022,c,d,2,15.7
6/30/2022,c,d,3,15.9
6/30/2022,c,d,4,14.2
6/30/2022,c,d,5,13.5
6/30/2022,c,h,1,34.6
6/30/2022,c,h,2,28.7
6/30/2022,c,h,3,30.8
6/30/2022,c,h,4,32.4
6/30/2022,c,h,5,27.9
6/30/2022,c,m,1,28.1
6/30/2022,c,m,2,12
6/30/2022,c,m,3,27.3
6/30/2022,c,m,4,26.1
6/30/2022,c,m,5,22.8
7/7/2022,p,d,1,9.8
7/7/2022,p,d,2,9.2
7/7/2022,p,d,3,11.2
7/7/2022,p,d,4,7.4
7/7/2022,p,d,5,10.8
7/7/2022,p,h,1,16.2
7/7/2022,p,h,2,
7/7/2022,p,h,3,15.1
7/7/2022,p,h,4,15.2
7/7/2022,p,h,5,14.9
7/7/2022,p,m,1,
7/7/2022,p,m,2,12.4
7/7/2022,p,m,3,11.2
7/7/2022,p,m,4,10.8
7/7/2022,p,m,5,11.8
7/7/2022,c,d,1,8.7
7/7/2022,c,d,2,10.2
7/7/2022,c,d,3,12.8
7/7/2022,c,d,4,11.6
7/7/2022,c,d,5,7.3
7/7/2022,c,h,1,24.3
7/7/2022,c,h,2,16.3
7/7/2022,c,h,3,11.3
7/7/2022,c,h,4,15.3
7/7/2022,c,h,5,16.9
7/7/2022,c,m,1,19.5
7/7/2022,c,m,2,15.6
7/7/2022,c,m,3,15.3
7/7/2022,c,m,4,12.6
7/7/2022,c,m,5,15.7
7/13/2022,p,d,1,16.8
7/13/2022,p,d,2,14.4
7/13/2022,p,d,3,13.6
7/13/2022,p,d,4,11.8
7/13/2022,p,d,5,16.8
7/13/2022,p,h,1,9.5
7/13/2022,p,h,2,
7/13/2022,p,h,3,23.8
7/13/2022,p,h,4,24.2
7/13/2022,p,h,5,25.3
7/13/2022,p,m,1,25.4
7/13/2022,p,m,2,22.1
7/13/2022,p,m,3,19.6
7/13/2022,p,m,4,18.7
7/13/2022,p,m,5,21.3
7/13/2022,c,d,1,17.2
7/13/2022,c,d,2,16.5
7/13/2022,c,d,3,24.5
7/13/2022,c,d,4,13.4
7/13/2022,c,d,5,15
7/13/2022,c,h,1,34.3
7/13/2022,c,h,2,34.9
7/13/2022,c,h,3,31.5
7/13/2022,c,h,4,32.7
7/13/2022,c,h,5,11.2
7/13/2022,c,m,1,25.8
7/13/2022,c,m,2,22.9
7/13/2022,c,m,3,20.6
7/13/2022,c,m,4,19.8
7/13/2022,c,m,5,21.3
7/21/2022,p,d,1,17.3
7/21/2022,p,d,2,15.7
7/21/2022,p,d,3,17.4
7/21/2022,p,d,4,14
7/21/2022,p,d,5,16.6
7/21/2022,p,h,1,35.5
7/21/2022,p,h,2,
7/21/2022,p,h,3,21.8
7/21/2022,p,h,4,24.7
7/21/2022,p,h,5,17
7/21/2022,p,m,1,20.5
7/21/2022,p,m,2,22.2
7/21/2022,p,m,3,21.7
7/21/2022,p,m,4,21.3
7/21/2022,p,m,5,22.9
7/21/2022,c,d,1,17.2
7/21/2022,c,d,2,16.5
7/21/2022,c,d,3,17.8
7/21/2022,c,d,4,16.7
7/21/2022,c,d,5,
7/21/2022,c,h,1,23.8
7/21/2022,c,h,2,34.3
7/21/2022,c,h,3,22.4
7/21/2022,c,h,4,21.3
7/21/2022,c,h,5,23.3
7/21/2022,c,m,1,13.1
7/21/2022,c,m,2,28.1
7/21/2022,c,m,3,23.7
7/21/2022,c,m,4,25.4
7/21/2022,c,m,5,27.1
7/28/2022,p,d,1,16
7/28/2022,p,d,2,13.5
7/28/2022,p,d,3,15.6
7/28/2022,p,d,4,14.83
7/28/2022,p,d,5,15.7
7/28/2022,p,h,1,23.2
7/28/2022,p,h,2,
7/28/2022,p,h,3,19.6
7/28/2022,p,h,4,21.87
7/28/2022,p,h,5,26
